"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"India","2022","290314","Saturated chlorinated derivatives of acyclic hydrocarbons; carbon tetrachloride","Export","2615066.289","732413.288","Weight in kilograms","732413.288"
"India","2022","290314","Saturated chlorinated derivatives of acyclic hydrocarbons; carbon tetrachloride","Import","3428220.802","3741370","Weight in kilograms","3741370"
"India","2022","290315","Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene dichloride (ISO) (1,2-dichloroethane)","Import","426448687.505","","No Quantity",""
"India","2022","290315","Saturated chlorinated derivatives of acyclic hydrocarbons; ethylene dichloride (ISO) (1,2-dichloroethane)","Export","592338.575","468826.594","Weight in kilograms","468826.594"
"India","2022","290319","Saturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.1","Import","9585927.818","1856155.322","Weight in kilograms","1856155.322"
"India","2022","290319","Saturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.1","Export","9806601.865","822849.024","Weight in kilograms","822849.024"
"India","2022","290321","Unsaturated chlorinated derivatives of acyclic hydrocarbons; vinyl chloride (chloroethylene)","Import","558216254.881","521151552.951","Weight in kilograms","521151552.951"
"India","2022","290321","Unsaturated chlorinated derivatives of acyclic hydrocarbons; vinyl chloride (chloroethylene)","Export","67169.125","27190","Weight in kilograms","27190"
"India","2022","290322","Unsaturated chlorinated derivatives of acyclic hydrocarbons; trichloroethylene","Import","11267406.956","6384293.777","Weight in kilograms","6384293.777"
"India","2022","290322","Unsaturated chlorinated derivatives of acyclic hydrocarbons; trichloroethylene","Export","264092.983","98244.03","Weight in kilograms","98244.03"
"India","2022","290323","Unsaturated chlorinated derivatives of acyclic hydrocarbons; tetrachloroethylene (perchloroethylene)","Export","1291379.846","","No Quantity",""
"India","2022","290323","Unsaturated chlorinated derivatives of acyclic hydrocarbons; tetrachloroethylene (perchloroethylene)","Import","13386568.772","9151954.838","Weight in kilograms","9151954.838"
"India","2022","290329","Unsaturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.2","Export","5432118.668","555772.799","Weight in kilograms","555772.799"
"India","2022","290329","Unsaturated chlorinated derivatives of acyclic hydrocarbons; n.e.c. in item no. 2903.2","Import","58025614.536","12528057.829","Weight in kilograms","12528057.829"
"India","2022","290341","Saturated fluorinated derivatives of acyclic hydrocarbons; trifluoromethane (HFC-23)","Import","156.446","","No Quantity",""
"India","2022","290341","Saturated fluorinated derivatives of acyclic hydrocarbons; trifluoromethane (HFC-23)","Export","2.875","1","Weight in kilograms","1"
"India","2022","290342","Saturated fluorinated derivatives of acyclic hydrocarbons; difluoromethane (HFC-32)","Import","16533340.712","6481150","Weight in kilograms","6481150"
"India","2022","290342","Saturated fluorinated derivatives of acyclic hydrocarbons; difluoromethane (HFC-32)","Export","14132061.501","2284860","Weight in kilograms","2284860"
"India","2022","290343","Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)","Export","219101.091","34870","Weight in kilograms","34870"
"India","2022","290343","Saturated fluorinated derivatives of acyclic hydrocarbons; fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)","Import","12431905.436","3296845","Weight in kilograms","3296845"
"India","2022","290344","Saturated fluorinated derivatives of acyclic hydrocarbons; pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)","Import","743884.211","103120","Weight in kilograms","103120"
"India","2022","290344","Saturated fluorinated derivatives of acyclic hydrocarbons; pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)","Export","83111039.441","4747950","Weight in kilograms","4747950"
"India","2022","290345","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)","Import","30706080.078","7457792","Weight in kilograms","7457792"
"India","2022","290345","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2-tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)","Export","48616759.633","5089962","Weight in kilograms","5089962"
"India","2022","290346","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2,3,3,3-heptafluoropropane (HFC-227ea), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)","Export","1168088.525","32736.279","Weight in kilograms","32736.279"
"India","2022","290346","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,2,3,3,3-heptafluoropropane (HFC-227ea), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)","Import","7875226.911","260009","Weight in kilograms","260009"
"India","2022","290347","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)","Import","5574749.126","831470","Weight in kilograms","831470"
"India","2022","290348","Saturated fluorinated derivatives of acyclic hydrocarbons; 1,1,1,3,3-pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)","Import","242479.201","20138.229","Weight in kilograms","20138.229"
"India","2022","290349","Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no 2903.4","Export","303484.943","1487.596","Weight in kilograms","1487.596"
"India","2022","290349","Saturated fluorinated derivatives of acyclic hydrocarbons; n.e.c. in item no 2903.4","Import","2533616.608","255210.305","Weight in kilograms","255210.305"
