"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, furfuryl alcohol and tetrahydrofurfuryl alcohol","Import","431970","153903.375","Weight in kilograms","153903.375"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, sucralose","Export","197957814","5395711","Weight in kilograms","5395711"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, sucralose","Import","8300089","265778.043","Weight in kilograms","265778.043"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, n.e.c. in item no. 2932.1","Export","118576408","5029867.867","Weight in kilograms","5029867.867"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, n.e.c. in item no. 2932.1","Import","13036832","484925.222","Weight in kilograms","484925.222"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones","Export","1322102761","69660187.52","Weight in kilograms","69660187.52"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones","Import","71838952","18225335.576","Weight in kilograms","18225335.576"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), piperonal","Export","34123267","1755526","Weight in kilograms","1755526"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), piperonal","Import","125","6.171","Weight in kilograms","6.171"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), tetrahydrocannabinols (all isomers)","Import","36791","","No Quantity",""
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers), carbofuran (ISO)","Export","1115179588","73191765.348","Weight in kilograms","73191765.348"
"China","2018","Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers), carbofuran (ISO)","Import","589096714","3691770.309","Weight in kilograms","3691770.309"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, phenazone (antipyrin) and its derivatives","Export","8108164","402122.331","Weight in kilograms","402122.331"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, phenazone (antipyrin) and its derivatives","Import","280133","6153.784","Weight in kilograms","6153.784"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, other than henazone (antipyrin) and its derivatives","Export","531230229","29748685.441","Weight in kilograms","29748685.441"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, other than henazone (antipyrin) and its derivatives","Import","37453947","1077713.642","Weight in kilograms","1077713.642"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives","Export","27948298","8296803","Weight in kilograms","8296803"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives","Import","3284699","514769.298","Weight in kilograms","514769.298"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, other than hydantoin and its derivatives","Export","395774104","27113462.995","Weight in kilograms","27113462.995"
"China","2018","Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, other than hydantoin and its derivatives","Import","64551862","2372492.447","Weight in kilograms","2372492.447"
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, pyridine and its salts","Export","12630780","3601834.758","Weight in kilograms","3601834.758"
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, pyridine and its salts","Import","7362882","1276172.58","Weight in kilograms","1276172.58"
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, piperidine and its salts","Export","3624176","","No Quantity",""
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, piperidine and its salts","Import","8959972","2152162.336","Weight in kilograms","2152162.336"
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), carfentanil (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN)","Import","13747","","No Quantity",""
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), carfentanil (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN)","Export","48475","3.289","Weight in kilograms","3.289"
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3","Export","2176237775","110139547.375","Weight in kilograms","110139547.375"
"China","2018","Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3","Import","785104271","14261231.201","Weight in kilograms","14261231.201"
"China","2018","Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, levorphanol (INN) and its salts","Import","2795","","No Quantity",""
"China","2018","Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, other than levorphanol (INN) and its salts","Export","211843794","10519323.644","Weight in kilograms","10519323.644"
"China","2018","Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, other than levorphanol (INN) and its salts","Import","21972875","1229182.866","Weight in kilograms","1229182.866"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, malonylurea (barbituric acid) and its salts","Export","18129397","2882916","Weight in kilograms","2882916"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, malonylurea (barbituric acid) and its salts","Import","34581","196.273","Weight in kilograms","196.273"
"China","2018","Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts thereof","Export","3948518","76607.001","Weight in kilograms","76607.001"
"China","2018","Allobarbital (INN), amobarbital (INN), barbital (INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts thereof","Import","29136","172.409","Weight in kilograms","172.409"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, other derivatives of malonylurea (barbituric acid) and salts thereof, n.e.c. in 2933.53","Export","1084035","19038.318","Weight in kilograms","19038.318"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, other derivatives of malonylurea (barbituric acid) and salts thereof, n.e.c. in 2933.53","Import","3550","22.374","Weight in kilograms","22.374"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure; loprazolam (INN), mecloqualone (INN), methaqualone (INN), and zipeprol (INN); salts thereof","Import","7555","3.278","Weight in kilograms","3.278"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","Export","1096037856","35107776.962","Weight in kilograms","35107776.962"
"China","2018","Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5","Import","269448860","10335704.446","Weight in kilograms","10335704.446"
"China","2018","Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, melamine","Export","474562311","400507862","Weight in kilograms","400507862"
"China","2018","Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, melamine","Import","993297","357532.162","Weight in kilograms","357532.162"
"China","2018","Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine","Export","1213962342","452000452.172","Weight in kilograms","452000452.172"
"China","2018","Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine","Import","87216157","13728940.012","Weight in kilograms","13728940.012"
"China","2018","Heterocyclic compounds; lactams; 6-hexanelactam (epsilon-caprolactam)","Export","307028","110136","Weight in kilograms","110136"
"China","2018","Heterocyclic compounds; lactams; 6-hexanelactam (epsilon-caprolactam)","Import","349423215","173555263","Weight in kilograms","173555263"
"China","2018","Heterocyclic compounds; lactams; clobazam (INN) and methyprylon (INN)","Import","25","","No Quantity",""
"China","2018","Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam) and clobazam (INN) and methyprylon (INN)","Export","268933309","29613493.715","Weight in kilograms","29613493.715"
"China","2018","Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam) and clobazam (INN) and methyprylon (INN)","Import","61860202","9009838.605","Weight in kilograms","9009838.605"
"China","2018","Heterocyclic compounds; alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), (cont)","Import","138423","","No Quantity",""
"China","2018","Heterocyclic compounds; alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), (cont)","Export","515033","7000","Weight in kilograms","7000"
"China","2018","Heterocyclic compounds; n.e.c. in headings no. 2933","Export","2140922407","113384668.286","Weight in kilograms","113384668.286"
"China","2018","Heterocyclic compounds; n.e.c. in headings no. 2933","Import","1695452545","12075282.038","Weight in kilograms","12075282.038"
"China","2018","Heterocyclic compounds; containing an unfused thiazole ring (whether or not hydrogenated) in the structure","Export","214721801","8933752.44","Weight in kilograms","8933752.44"
"China","2018","Heterocyclic compounds; containing an unfused thiazole ring (whether or not hydrogenated) in the structure","Import","18245706","756428.689","Weight in kilograms","756428.689"
"China","2018","Heterocyclic compounds; containing in the structure, a benzothiazole ring-system (whether or not hydrogenated), not further fused","Import","4715741","","No Quantity",""
"China","2018","Heterocyclic compounds; containing in the structure, a benzothiazole ring-system (whether or not hydrogenated), not further fused","Export","483595442","74253186.594","Weight in kilograms","74253186.594"
"China","2018","Heterocyclic compounds; containing in the structure, a phenothiazine ring-system (whether or not hydrogenated), not further fused","Export","6798174","209748.476","Weight in kilograms","209748.476"
"China","2018","Heterocyclic compounds; containing in the structure, a phenothiazine ring-system (whether or not hydrogenated), not further fused","Import","49415562","1861157.874","Weight in kilograms","1861157.874"
"China","2018","Heterocyclic compounds; other heterocyclic compounds, n.e.c. in 2934.1, 2934.2 and 2934.3","Export","467","","No Quantity",""
"China","2018","Heterocyclic compounds; other heterocyclic compounds, n.e.c. in 2934.1, 2934.2 and 2934.3","Import","2744","","No Quantity",""
"China","2018","Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934","Export","2224689742","79904959.538","Weight in kilograms","79904959.538"
"China","2018","Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934","Import","494065871","16141311.575","Weight in kilograms","16141311.575"
"China","2018","Sulphonamides; N-methylperfluorooctane sulphonamide","Import","1191","","No Quantity",""
"China","2018","Sulphonamides; N-methylperfluorooctane sulphonamide","Export","22700","10000","Weight in kilograms","10000"
"China","2018","Sulphonamides; N-ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide","Import","268","","No Quantity",""
"China","2018","Sulphonamides; other perfluorooctane sulphonamides","Import","2244","","No Quantity",""
"China","2018","Sulphonamides; other perfluorooctane sulphonamides","Export","2300","50","Weight in kilograms","50"
"China","2018","Sulphonamides; n.e.c. in heading no. 2935","Export","734402344","30670449.811","Weight in kilograms","30670449.811"
"China","2018","Sulphonamides; n.e.c. in heading no. 2935","Import","208489635","3104468.911","Weight in kilograms","3104468.911"
"China","2018","Vitamins; vitamins A and their derivatives, unmixed","Export","288039991","3116366.691","Weight in kilograms","3116366.691"
"China","2018","Vitamins; vitamins A and their derivatives, unmixed","Import","107717586","1201837.935","Weight in kilograms","1201837.935"
"China","2018","Vitamins; vitamin B1 and its derivatives, unmixed","Export","295958622","6649178","Weight in kilograms","6649178"
"China","2018","Vitamins; vitamin B1 and its derivatives, unmixed","Import","3045502","57947.161","Weight in kilograms","57947.161"
"China","2018","Vitamins; vitamin B2 and its derivatives, unmixed","Export","114541250","3006529","Weight in kilograms","3006529"
"China","2018","Vitamins; vitamin B2 and its derivatives, unmixed","Import","9744013","301006.884","Weight in kilograms","301006.884"
"China","2018","Vitamins; D- or DL-pantothenic acid (vitamin B5) and its derivatives, unmixed","Export","316184956","15480365","Weight in kilograms","15480365"
"China","2018","Vitamins; D- or DL-pantothenic acid (vitamin B5) and its derivatives, unmixed","Import","11944835","477128.643","Weight in kilograms","477128.643"
"China","2018","Vitamins; vitamin B6 and its derivatives, unmixed","Export","237046350","5727627","Weight in kilograms","5727627"
"China","2018","Vitamins; vitamin B6 and its derivatives, unmixed","Import","857098","18346.938","Weight in kilograms","18346.938"
"China","2018","Vitamins; vitamin B12 and its derivatives, unmixed","Export","188223292","338927.267","Weight in kilograms","338927.267"
"China","2018","Vitamins; vitamin B12 and its derivatives, unmixed","Import","16486785","25426.321","Weight in kilograms","25426.321"
"China","2018","Vitamins; vitamin C and its derivatives, unmixed","Export","835368114","145178942","Weight in kilograms","145178942"
"China","2018","Vitamins; vitamin C and its derivatives, unmixed","Import","7192615","307575.923","Weight in kilograms","307575.923"
"China","2018","Vitamins; vitamin E and its derivatives, unmixed","Export","651229390","74977202.928","Weight in kilograms","74977202.928"
"China","2018","Vitamins; vitamin E and its derivatives, unmixed","Import","86391118","6213172.885","Weight in kilograms","6213172.885"
"China","2018","Vitamins; n.e.c. in item no. 2936.2, and their derivatives, unmixed","Export","460584749","29117096.944","Weight in kilograms","29117096.944"
"China","2018","Vitamins; n.e.c. in item no. 2936.2, and their derivatives, unmixed","Import","33513181","2985950.633","Weight in kilograms","2985950.633"
"China","2018","Vitamins; n.e.c. in heading no. 2936, including natural concentrates","Export","53680495","1416050.765","Weight in kilograms","1416050.765"
"China","2018","Vitamins; n.e.c. in heading no. 2936, including natural concentrates","Import","19052564","448896.529","Weight in kilograms","448896.529"
"China","2018","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; somatotropin, its derivatives and structural analogues","Export","30542","","No Quantity",""
"China","2018","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; somatotropin, its derivatives and structural analogues","Import","13847","5.663","Weight in kilograms","5.663"
"China","2018","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; insulin and its salts","Export","13841480","298.909","Weight in kilograms","298.909"
"China","2018","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; insulin and its salts","Import","694413665","3053.597","Weight in kilograms","3053.597"
"China","2018","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; other than somatotropin, (its derivatives and structural anaologues) and insulin and its salts","Import","7192539","","No Quantity",""
"China","2018","Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; other than somatotropin, (its derivatives and structural anaologues) and insulin and its salts","Export","79465495","7056.232","Weight in kilograms","7056.232"
"China","2018","Steroidal hormones, their derivatives and structural analogues; cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)","Export","132881764","240872.612","Weight in kilograms","240872.612"
"China","2018","Steroidal hormones, their derivatives and structural analogues; cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)","Import","160156","919.195","Weight in kilograms","919.195"
"China","2018","Steroidal hormones, their derivatives and structural analogues; halogenated derivatives of corticosteroidal hormones","Export","90056725","","No Quantity",""
"China","2018","Steroidal hormones, their derivatives and structural analogues; halogenated derivatives of corticosteroidal hormones","Import","3277822","26498.358","Weight in kilograms","26498.358"
"China","2018","Steroidal hormones, their derivatives and structural analogues; oestrogens and progestogens","Export","269137841","494316.961","Weight in kilograms","494316.961"
"China","2018","Steroidal hormones, their derivatives and structural analogues; oestrogens and progestogens","Import","2288462","189.487","Weight in kilograms","189.487"
"China","2018","Steroidal hormones, their derivatives and structural analogues; other than cortisone, hydrocortisone, prednisone (dehydrocortisone), prednisolone (dehydrohydrocortisone), halogenated derivatives of corticosteroidal hormones, oestrogen and progestogens","Export","250872646","437444.663","Weight in kilograms","437444.663"
"China","2018","Steroidal hormones, their derivatives and structural analogues; other than cortisone, hydrocortisone, prednisone (dehydrocortisone), prednisolone (dehydrohydrocortisone), halogenated derivatives of corticosteroidal hormones, oestrogen and progestogens","Import","2437630","11818.087","Weight in kilograms","11818.087"
"China","2018","Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues","Export","3278078","","No Quantity",""
"China","2018","Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues","Import","12569950","1513.748","Weight in kilograms","1513.748"
"China","2018","Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones, n.e.c. in heading 2937","Export","13776441","65675.704","Weight in kilograms","65675.704"
"China","2018","Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones, n.e.c. in heading 2937","Import","408738","373.618","Weight in kilograms","373.618"
"China","2018","Glycosides; rutoside (rutin) and its derivatives","Export","34354736","768074.47","Weight in kilograms","768074.47"
"China","2018","Glycosides; natural or reproduced by synthesis, other than rutoside (rutin) and its derivatives","Export","569523752","11980720.165","Weight in kilograms","11980720.165"
"China","2018","Glycosides; natural or reproduced by synthesis, other than rutoside (rutin) and its derivatives","Import","133326881","6148467.055","Weight in kilograms","6148467.055"
"China","2018","Alkaloids; of opium and their derivatives; salts thereof","Export","30836","","No Quantity",""
"China","2018","Alkaloids; of opium and their derivatives; salts thereof","Import","5370030","1717.11","Weight in kilograms","1717.11"
"China","2018","Alkaloids; of opium and their derivatives; other than in 2939.11, salts thereof","Export","226114","27548.248","Weight in kilograms","27548.248"
"China","2018","Alkaloids; of opium and their derivatives; other than in 2939.11, salts thereof","Import","2328177","8694.911","Weight in kilograms","8694.911"
"China","2018","Alkaloids; of cinchona and their derivatives; salts thereof","Export","210209","558.014","Weight in kilograms","558.014"
"China","2018","Alkaloids; of cinchona and their derivatives; salts thereof","Import","4161119","32292","Weight in kilograms","32292"
"China","2018","Alkaloids; caffeine and its salts","Export","137748243","13390370","Weight in kilograms","13390370"
"China","2018","Alkaloids; caffeine and its salts","Import","65401","162.128","Weight in kilograms","162.128"
"China","2018","Alkaloids; of ephedrine and their derivatives; salts thereof","Export","122208","1894.069","Weight in kilograms","1894.069"
"China","2018","Alkaloids; of ephedrine and their derivatives; pseudoephedrine (INN) and its salts","Export","2390898","52217","Weight in kilograms","52217"
"China","2018","Alkaloids; of ephedrine and their derivatives; pseudoephedrine (INN) and its salts","Import","868","12.199","Weight in kilograms","12.199"
"China","2018","Alkaloids; of ephedrine and their derivatives; norephedrine and its salts","Import","4920","100","Weight in kilograms","100"
"China","2018","Alkaloids; theophylline and aminophylline (theophylline-ethylenediamine) and their derivatives; salts thereof, other than fenetylline","Export","9183509","673447.646","Weight in kilograms","673447.646"
"China","2018","Alkaloids; theophylline and aminophylline (theophylline-ethylenediamine) and their derivatives; salts thereof, other than fenetylline","Import","57071","714.494","Weight in kilograms","714.494"
"China","2018","Alkaloids; of rye ergot and their derivatives, salts thereof, n.e.c. in item no. 2939.6","Export","368871","130.436","Weight in kilograms","130.436"
"China","2018","Alkaloids; of rye ergot and their derivatives, salts thereof, n.e.c. in item no. 2939.6","Import","15444349","3797.187","Weight in kilograms","3797.187"
"China","2018","Alkaloids; of vegetal origin, cocaine, ecgonine, levometamfetamine, metamfetamine (INN), metamfetamine racemate; salts, esters and other derivatives thereof","Import","46375","","No Quantity",""
"China","2018","Alkaloids; of vegetal origin, other than cocaine, ecgonine; salts, esters and other derivatives; n.e.c. in heading no. 2939","Export","16070085","76394.025","Weight in kilograms","76394.025"
"China","2018","Alkaloids; of vegetal origin, other than cocaine, ecgonine; salts, esters and other derivatives; n.e.c. in heading no. 2939","Import","10886792","3221.643","Weight in kilograms","3221.643"
"China","2018","Alkaloids; natural or reproduced by synthesis, and their salts, esters and other derivatives n.e.c. in heading no. 2939","Export","6375192","60799.706","Weight in kilograms","60799.706"
"China","2018","Alkaloids; natural or reproduced by synthesis, and their salts, esters and other derivatives n.e.c. in heading no. 2939","Import","4755342","1737.086","Weight in kilograms","1737.086"
"China","2018","Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than the products of heading 29.37, 29.38, or 29.39","Export","113013969","34279325","Weight in kilograms","34279325"
"China","2018","Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than the products of heading 29.37, 29.38, or 29.39","Import","17031441","6828920.757","Weight in kilograms","6828920.757"
"China","2018","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","Export","885089467","35253342.08","Weight in kilograms","35253342.08"
"China","2018","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","Import","7700499","302736.646","Weight in kilograms","302736.646"
"China","2018","Antibiotics; streptomycins and their derivatives; salts thereof","Export","40302287","1857147","Weight in kilograms","1857147"
"China","2018","Antibiotics; streptomycins and their derivatives; salts thereof","Import","424835","11530","Weight in kilograms","11530"
"China","2018","Antibiotics; tetracyclines and their derivatives; salts thereof","Export","375902580","12459902.534","Weight in kilograms","12459902.534"
"China","2018","Antibiotics; tetracyclines and their derivatives; salts thereof","Import","14060581","19643.513","Weight in kilograms","19643.513"
"China","2018","Antibiotics; chloramphenicol and its derivatives; salts thereof","Export","171957505","2529784","Weight in kilograms","2529784"
"China","2018","Antibiotics; chloramphenicol and its derivatives; salts thereof","Import","282","3.669","Weight in kilograms","3.669"
"China","2018","Antibiotics; erythromycin and its derivatives; salts thereof","Export","208964835","2410324.48","Weight in kilograms","2410324.48"
"China","2018","Antibiotics; erythromycin and its derivatives; salts thereof","Import","2771793","9983.132","Weight in kilograms","9983.132"
"China","2018","Antibiotics; n.e.c. in heading no. 2941","Export","1806756791","27237566.048","Weight in kilograms","27237566.048"
"China","2018","Antibiotics; n.e.c. in heading no. 2941","Import","455777093","657139.778","Weight in kilograms","657139.778"
"China","2018","Organic compounds; n.e.c. in chapter 29","Export","92643005","6726833.765","Weight in kilograms","6726833.765"
"China","2018","Organic compounds; n.e.c. in chapter 29","Import","32018112","3175537.937","Weight in kilograms","3175537.937"
"China","2017","Acyclic hydrocarbons; saturated","Import","72969252","79581886.641","Weight in kilograms","79581886.641"
"China","2017","Acyclic hydrocarbons; saturated","Export","20904261","12061197.078","Weight in kilograms","12061197.078"
"China","2017","Acyclic hydrocarbons; unsaturated, ethylene","Import","2550965548","","Weight in kilograms","2156825571.984"
"China","2017","Acyclic hydrocarbons; unsaturated, ethylene","Export","6099063","6320390","Weight in kilograms","6320390"
"China","2017","Acyclic hydrocarbons; unsaturated, propene (propylene)","Import","2850660520","3098747665","Weight in kilograms","3098747665"
"China","2017","Acyclic hydrocarbons; unsaturated, propene (propylene)","Export","1593101","1666360","Weight in kilograms","1666360"
"China","2017","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Import","17291129","","Weight in kilograms","23702163.365"
"China","2017","Acyclic hydrocarbons; unsaturated, butene (butylene) and isomers thereof","Export","3557508","","Weight in kilograms","3927289.467"
"China","2017","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Import","598287810","392873739.637","Weight in kilograms","392873739.637"
"China","2017","Acyclic hydrocarbons; unsaturated, buta-1,3-diene and isoprene","Export","45335467","35007290","Weight in kilograms","35007290"
"China","2017","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Import","118090754","113147233.965","Weight in kilograms","113147233.965"
"China","2017","Acyclic hydrocarbons; unsaturated, n.e.c. in heading no. 2901","Export","26608525","6130029.477","Weight in kilograms","6130029.477"
"China","2017","Cyclic hydrocarbons; cyclohexane","Import","10956048","12403647.542","Weight in kilograms","12403647.542"
"China","2017","Cyclic hydrocarbons; cyclohexane","Export","15667560","16816354","Weight in kilograms","16816354"
"China","2017","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Import","141483510","29651329.685","Weight in kilograms","29651329.685"
"China","2017","Cyclic hydrocarbons; cyclanes, cyclenes and cycloterpenes, excluding cyclohexane","Export","173182757","43421737.501","Weight in kilograms","43421737.501"
"China","2017","Cyclic hydrocarbons; benzene","Import","2096353776","","Weight in kilograms","2503083665.568"
"China","2017","Cyclic hydrocarbons; benzene","Export","22036453","35535977","Weight in kilograms","35535977"
"China","2017","Cyclic hydrocarbons; toluene","Import","342550505","","Weight in kilograms","509006875.971"
"China","2017","Cyclic hydrocarbons; toluene","Export","888061","865611","Weight in kilograms","865611"
"China","2017","Cyclic hydrocarbons; o-xylene","Import","282761965","","Weight in kilograms","356433796.686"
"China","2017","Cyclic hydrocarbons; o-xylene","Export","1851","634","Weight in kilograms","634"
"China","2017","Cyclic hydrocarbons; m-xylene","Import","8535162","","Weight in kilograms","8157672.019"
"China","2017","Cyclic hydrocarbons; m-xylene","Export","969445","710062","Weight in kilograms","710062"
"China","2017","Cyclic hydrocarbons; p-xylene","Import","12238125683","","Weight in kilograms","14438978410.302"
"China","2017","Cyclic hydrocarbons; p-xylene","Export","29695746","34983040.178","Weight in kilograms","34983040.178"
"China","2017","Cyclic hydrocarbons; mixed xylene isomers","Import","451579","","Weight in kilograms","153406.629"
"China","2017","Cyclic hydrocarbons; mixed xylene isomers","Export","713071","859762","Weight in kilograms","859762"
"China","2017","Cyclic hydrocarbons; styrene","Import","4019469182","3212195733.259","Weight in kilograms","3212195733.259"
"China","2017","Cyclic hydrocarbons; styrene","Export","86455533","63445720","Weight in kilograms","63445720"
"China","2017","Cyclic hydrocarbons; ethylbenzene","Import","135205822","","Weight in kilograms","137210653.169"
"China","2017","Cyclic hydrocarbons; ethylbenzene","Export","395149","283780","Weight in kilograms","283780"
"China","2017","Cyclic hydrocarbons; cumene","Import","531242204","584294982.001","Weight in kilograms","584294982.001"
"China","2017","Cyclic hydrocarbons; n.e.c. in heading no. 2902","Import","98959965","","Weight in kilograms","34197668.345"
